STAB,STATE,COUNTY,CITY,METRO,,,,,,
AK,Alaska,YUKON KOYUKUK,Ft Yukon,Fort Yukon,,,,,,
AK,Alaska,VALDEZ CORDOVA,Gakona,Gakona,,,,,,
AK,Alaska,VALDEZ CORDOVA,Gulkana,Gakona,,,,,,
AK,Alaska,VALDEZ CORDOVA,Miers Lake,Gakona,,,,,,
AK,Alaska,VALDEZ CORDOVA,Slana,Gakona,,,,,,
AK,Alaska,YUKON KOYUKUK,Galena,Galena,,,,,,
AK,Alaska,NOME,Gambell,Gambell,,,,,,
AK,Alaska,ANCHORAGE,Girdwood,Girdwood,,,,,,
AK,Alaska,VALDEZ CORDOVA,Glennallen,Glennallen,,,,,,
AK,Alaska,BETHEL,Goodnews Bay,Goodnews Bay,,,,,,
AK,Alaska,YUKON KOYUKUK,Grayling,Grayling,,,,,,
AK,Alaska,HOONAH ANGOON,Gustavus,Gustavus,,,,,,
AK,Alaska,HAINES,Haines,Haines,,,,,,
AK,Alaska,DENALI,Healy,Healy,,,,,,
AK,Alaska,YUKON KOYUKUK,Holy Cross,Holy Cross,,,,,,
AK,Alaska,KENAI PENINSULA,English Bay,Homer,,,,,,
AK,Alaska,KENAI PENINSULA,Fritz Creek,Homer,,,,,,
AK,Alaska,KENAI PENINSULA,Halibut Cove,Homer,,,,,,
AK,Alaska,KENAI PENINSULA,Homer,Homer,,,,,,
AK,Alaska,KENAI PENINSULA,Kachemak,Homer,,,,,,
AK,Alaska,KENAI PENINSULA,Nanwalek,Homer,,,,,,
AK,Alaska,KENAI PENINSULA,Port Graham,Homer,,,,,,
AK,Alaska,HOONAH ANGOON,Hoonah,Hoonah,,,,,,
AK,Alaska,WADE HAMPTON,Hooper Bay,Hooper Bay,,,,,,
AK,Alaska,KENAI PENINSULA,Hope,Hope,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Houston,Houston,,,,,,
AK,Alaska,YUKON KOYUKUK,Hughes,Hughes,,,,,,
AK,Alaska,YUKON KOYUKUK,Huslia,Huslia,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Hydaburg,Hydaburg,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Hyder,Hyder,,,,,,
AK,Alaska,LAKE AND PENINSULA,Iliamna,Iliamna,,,,,,
AK,Alaska,LAKE AND PENINSULA,Kokhanok,Iliamna,,,,,,
AK,Alaska,LAKE AND PENINSULA,Kokhonak,Iliamna,,,,,,
AK,Alaska,ANCHORAGE,Anchorage,Indian,,,,,,
AK,Alaska,ANCHORAGE,Indian,Indian,,,,,,
AK,Alaska,ANCHORAGE,Anch,Jber,,,,,,
AK,Alaska,ANCHORAGE,Anchorage,Jber,,,,,,
AK,Alaska,ANCHORAGE,Elmendorf AFB,Jber,,,,,,
AK,Alaska,ANCHORAGE,Fort Richardson,Jber,,,,,,
AK,Alaska,ANCHORAGE,Ft Richardson,Jber,,,,,,
AK,Alaska,ANCHORAGE,Jber,JBER,,,,,,
AK,Alaska,JUNEAU,Juneau,Juneau,,,,,,
AK,Alaska,JUNEAU,State Of Alaska  Brm,Juneau,,,,,,
AK,Alaska,PETERSBURG,Kake,Kake,,,,,,
AK,Alaska,NORTH SLOPE,Kaktovik,Kaktovik,,,,,,
AK,Alaska,BETHEL,Kalskag,Kalskag,,,,,,
AK,Alaska,YUKON KOYUKUK,Kaltag,Kaltag,,,,,,
AK,Alaska,KODIAK ISLAND,Karluk,Karluk,,,,,,
AK,Alaska,BETHEL,Kasigluk,Kasigluk,,,,,,
AK,Alaska,KENAI PENINSULA,Kasilof,Kasilof,,,,,,
AK,Alaska,KENAI PENINSULA,Kenai,Kenai,,,,,,
AK,Alaska,KENAI PENINSULA,Nikiski,Kenai,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Edna Bay,Ketchikan,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Kasaan,Ketchikan,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Ketchikan,Ketchikan,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Naukati Bay,Ketchikan,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Saxman,Ketchikan,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Kiana,Kiana,,,,,,
AK,Alaska,ALEUTIANS EAST,King Cove,King Cove,,,,,,
AK,Alaska,BRISTOL BAY,Igiugig,King Salmon,,,,,,
AK,Alaska,BRISTOL BAY,King Salmon,King Salmon,,,,,,
AK,Alaska,BETHEL,Kipnuk,Kipnuk,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Kivalina,Kivalina,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Klawock,Klawock,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Kobuk,Kobuk,,,,,,
AK,Alaska,KODIAK ISLAND,Akhiok,Kodiak,,,,,,
AK,Alaska,KODIAK ISLAND,Chiniak,Kodiak,,,,,,
AK,Alaska,KODIAK ISLAND,Kodiak,Kodiak,,,,,,
AK,Alaska,KODIAK ISLAND,Uscgs,Kodiak,,,,,,
AK,Alaska,BETHEL,Kongiganak,Kongiganak,,,,,,
AK,Alaska,WADE HAMPTON,Kotlik,Kotlik,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Kotzebue,Kotzebue,,,,,,
AK,Alaska,NOME,Koyuk,Koyuk,,,,,,
AK,Alaska,YUKON KOYUKUK,Koyukuk,Koyukuk,,,,,,
AK,Alaska,BETHEL,Kwethluk,Kwethluk,,,,,,
AK,Alaska,BETHEL,Kwigillingok,Kwigillingok,,,,,,
AK,Alaska,YUKON KOYUKUK,Lake Minchumina,Lake Minchumina,,,,,,
AK,Alaska,YUKON KOYUKUK,Lk Minchumina,Lake Minchumina,,,,,,
AK,Alaska,KODIAK ISLAND,Larsen Bay,Larsen Bay,,,,,,
AK,Alaska,LAKE AND PENINSULA,Levelock,Levelock,,,,,,
AK,Alaska,BETHEL,Lower Kalskag,Lower Kalskag,,,,,,
AK,Alaska,YUKON KOYUKUK,Manley Hot Springs,Manley Hot Springs,,,,,,
AK,Alaska,YUKON KOYUKUK,Manley Spgs,Manley Hot Springs,,,,,,
AK,Alaska,DILLINGHAM,Manokotak,Manokotak,,,,,,
AK,Alaska,WADE HAMPTON,Marshall,Marshall,,,,,,
AK,Alaska,YUKON KOYUKUK,Mc Grath,Mc Grath,,,,,,
AK,Alaska,YUKON KOYUKUK,Mcgrath,Mc Grath,,,,,,
AK,Alaska,BETHEL,Mekoryuk,Mekoryuk,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Metlakatla,Metlakatla,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Ketchikan,Meyers Chuck,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Meyers Chuck,Meyers Chuck,,,,,,
AK,Alaska,YUKON KOYUKUK,Minto,Minto,,,,,,
AK,Alaska,KENAI PENINSULA,Moose Pass,Moose Pass,,,,,,
AK,Alaska,WADE HAMPTON,Mountain Village,Mountain Village,,,,,,
AK,Alaska,WADE HAMPTON,Mountain Vlg,Mountain Village,,,,,,
AK,Alaska,BRISTOL BAY,Naknek,Naknek,,,,,,
AK,Alaska,BETHEL,Napakiak,Napakiak,,,,,,
AK,Alaska,YUKON KOYUKUK,Nenana,Nenana,,,,,,
AK,Alaska,DILLINGHAM,New Stuyahok,New Stuyahok,,,,,,
AK,Alaska,BETHEL,Bethel,Nightmute,,,,,,
AK,Alaska,BETHEL,Nightmute,Nightmute,,,,,,
AK,Alaska,KENAI PENINSULA,Kenai,Nikiski,,,,,,
AK,Alaska,KENAI PENINSULA,Nikishka,Nikiski,,,,,,
AK,Alaska,KENAI PENINSULA,Nikiski,Nikiski,,,,,,
AK,Alaska,YUKON KOYUKUK,Mc Grath,Nikolai,,,,,,
AK,Alaska,YUKON KOYUKUK,Nikolai,Nikolai,,,,,,
AK,Alaska,ALEUTIANS WEST,Nikolski,Nikolski,,,,,,
AK,Alaska,KENAI PENINSULA,Ninilchik,Ninilchik,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Noatak,Noatak,,,,,,
AK,Alaska,NOME,Diomede,Nome,,,,,,
AK,Alaska,NOME,Golovin,Nome,,,,,,
AK,Alaska,NOME,Little Diomede,Nome,,,,,,
AK,Alaska,NOME,Ltl Diomede,Nome,,,,,,
AK,Alaska,NOME,Nome,Nome,,,,,,
AK,Alaska,LAKE AND PENINSULA,Nondalton,Nondalton,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Noorvik,Noorvik,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Fairbanks,North Pole,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,North Pole,North Pole,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Northway,Northway,,,,,,
AK,Alaska,NORTH SLOPE,Barrow,Nuiqsut,,,,,,
AK,Alaska,NORTH SLOPE,Nuiqsut,Nuiqsut,,,,,,
AK,Alaska,YUKON KOYUKUK,Nulato,Nulato,,,,,,
AK,Alaska,WADE HAMPTON,Nunam Iqua,Nunam Iqua,,,,,,
AK,Alaska,BETHEL,Nunapitchuk,Nunapitchuk,,,,,,
AK,Alaska,KODIAK ISLAND,Old Harbor,Old Harbor,,,,,,
AK,Alaska,KODIAK ISLAND,Ouzinkie,Ouzinkie,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Palmer,Palmer,,,,,,
AK,Alaska,LAKE AND PENINSULA,Iliamna,Pedro Bay,,,,,,
AK,Alaska,LAKE AND PENINSULA,Pedro Bay,Pedro Bay,,,,,,
AK,Alaska,HOONAH ANGOON,Pelican,Pelican,,,,,,
AK,Alaska,LAKE AND PENINSULA,Perryville,Perryville,,,,,,
AK,Alaska,PETERSBURG,Kupreanof,Petersburg,,,,,,
AK,Alaska,PETERSBURG,Petersburg,Petersburg,,,,,,
AK,Alaska,LAKE AND PENINSULA,Pilot Point,Pilot Point,,,,,,
AK,Alaska,WADE HAMPTON,Pilot Station,Pilot Station,,,,,,
AK,Alaska,BETHEL,Platinum,Platinum,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Point Baker,Point Baker,,,,,,
AK,Alaska,NORTH SLOPE,Point Hope,Point Hope,,,,,,
AK,Alaska,NORTH SLOPE,Barrow,Point Lay,,,,,,
AK,Alaska,NORTH SLOPE,Point Lay,Point Lay,,,,,,
AK,Alaska,SITKA,Port Alexander,Port Alexander,,,,,,
AK,Alaska,SITKA,Prt Alexander,Port Alexander,,,,,,
AK,Alaska,SITKA,Sitka,Port Alexander,,,,,,
AK,Alaska,LAKE AND PENINSULA,Port Alsworth,Port Alsworth,,,,,,
AK,Alaska,LAKE AND PENINSULA,King Salmon,Port Heiden,,,,,,
AK,Alaska,LAKE AND PENINSULA,Port Heiden,Port Heiden,,,,,,
AK,Alaska,KODIAK ISLAND,Port Lions,Port Lions,,,,,,
AK,Alaska,NORTH SLOPE,Prudhoe Bay,Prudhoe Bay,,,,,,
AK,Alaska,BETHEL,Quinhagak,Quinhagak,,,,,,
AK,Alaska,YUKON KOYUKUK,Fairbanks,Rampart,,,,,,
AK,Alaska,YUKON KOYUKUK,Rampart,Rampart,,,,,,
AK,Alaska,BETHEL,Red Devil,Red Devil,,,,,,
AK,Alaska,YUKON KOYUKUK,Ruby,Ruby,,,,,,
AK,Alaska,WADE HAMPTON,Russian Mission,Russian Mission,,,,,,
AK,Alaska,WADE HAMPTON,Russian Msn,Russian Mission,,,,,,
AK,Alaska,ALEUTIANS WEST,Saint George Island,Saint George Island,,,,,,
AK,Alaska,ALEUTIANS WEST,Saint Paul Island,Saint George Island,,,,,,
AK,Alaska,ALEUTIANS WEST,St George,Saint George Island,,,,,,
AK,Alaska,ALEUTIANS WEST,St George Is,Saint George Island,,,,,,
AK,Alaska,ALEUTIANS WEST,St Paul Isle,Saint George Island,,,,,,
AK,Alaska,WADE HAMPTON,Saint Marys,Saint Marys,,,,,,
AK,Alaska,WADE HAMPTON,St Marys,Saint Marys,,,,,,
AK,Alaska,NOME,Saint Michael,Saint Michael,,,,,,
AK,Alaska,NOME,St Michael,Saint Michael,,,,,,
AK,Alaska,ALEUTIANS WEST,Saint Paul,Saint Paul Island,,,,,,
AK,Alaska,ALEUTIANS WEST,Saint Paul Island,Saint Paul Island,,,,,,
AK,Alaska,ALEUTIANS WEST,St Paul,Saint Paul Island,,,,,,
AK,Alaska,ALEUTIANS WEST,St Paul Island,Saint Paul Island,,,,,,
AK,Alaska,ALEUTIANS WEST,St Paul Isle,Saint Paul Island,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Fairbanks,Salcha,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Salcha,Salcha,,,,,,
AK,Alaska,ALEUTIANS EAST,Sand Point,Sand Point,,,,,,
AK,Alaska,NOME,Savoonga,Savoonga,,,,,,
AK,Alaska,WADE HAMPTON,Scammon Bay,Scammon Bay,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Selawik,Selawik,,,,,,
AK,Alaska,KENAI PENINSULA,Seldovia,Seldovia,,,,,,
AK,Alaska,KENAI PENINSULA,Seward,Seward,,,,,,
AK,Alaska,YUKON KOYUKUK,Shageluk,Shageluk,,,,,,
AK,Alaska,NOME,Shaktoolik,Shaktoolik,,,,,,
AK,Alaska,NOME,Shishmaref,Shishmaref,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Shungnak,Shungnak,,,,,,
AK,Alaska,SITKA,Sitka,Sitka,,,,,,
AK,Alaska,SKAGWAY,Skagway,Skagway,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Skwentna,Skwentna,,,,,,
AK,Alaska,BETHEL,Sleetmute,Sleetmute,,,,,,
AK,Alaska,KENAI PENINSULA,Soldotna,Soldotna,,,,,,
AK,Alaska,BRISTOL BAY,S Naknek,South Naknek,,,,,,
AK,Alaska,BRISTOL BAY,South Naknek,South Naknek,,,,,,
AK,Alaska,NOME,Stebbins,Stebbins,,,,,,
AK,Alaska,KENAI PENINSULA,Sterling,Sterling,,,,,,
AK,Alaska,YUKON KOYUKUK,Stevens Village,Stevens Village,,,,,,
AK,Alaska,YUKON KOYUKUK,Stevens Vlg,Stevens Village,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Chickaloon,Sutton,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Sutton,Sutton,,,,,,
AK,Alaska,YUKON KOYUKUK,Mc Grath,Takotna,,,,,,
AK,Alaska,YUKON KOYUKUK,Takotna,Takotna,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Talkeetna,Talkeetna,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Tanacross,Tanacross,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Tok,Tanacross,,,,,,
AK,Alaska,YUKON KOYUKUK,Tanana,Tanana,,,,,,
AK,Alaska,VALDEZ CORDOVA,Cordova,Tatitlek,,,,,,
AK,Alaska,VALDEZ CORDOVA,Tatitlek,Tatitlek,,,,,,
AK,Alaska,NOME,Teller,Teller,,,,,,
AK,Alaska,HOONAH ANGOON,Tenakee Spgs,Tenakee Springs,,,,,,
AK,Alaska,HOONAH ANGOON,Tenakee Springs,Tenakee Springs,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Ketchikan,Thorne Bay,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Thorne Bay,Thorne Bay,,,,,,
AK,Alaska,DILLINGHAM,Togiak,Togiak,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Mentasta Lake,Tok,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Tok,Tok,,,,,,
AK,Alaska,BETHEL,Bethel,Toksook Bay,,,,,,
AK,Alaska,BETHEL,Toksook Bay,Toksook Bay,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Trapper Creek,Trapper Creek,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Willow,Trapper Creek,,,,,,
AK,Alaska,BETHEL,Bethel,Tuluksak,,,,,,
AK,Alaska,BETHEL,Tuluksak,Tuluksak,,,,,,
AK,Alaska,BETHEL,Bethel,Tuntutuliak,,,,,,
AK,Alaska,BETHEL,Tuntutuliak,Tuntutuliak,,,,,,
AK,Alaska,BETHEL,Tununak,Tununak,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Fairbanks,Two Rivers,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Two Rivers,Two Rivers,,,,,,
AK,Alaska,KENAI PENINSULA,Tyonek,Tyonek,,,,,,
AK,Alaska,NOME,Unalakleet,Unalakleet,,,,,,
AK,Alaska,ALEUTIANS WEST,Unalaska,Unalaska,,,,,,
AK,Alaska,VALDEZ CORDOVA,Valdez,Valdez,,,,,,
AK,Alaska,YUKON KOYUKUK,Venetie,Venetie,,,,,,
AK,Alaska,NORTH SLOPE,Wainwright,Wainwright,,,,,,
AK,Alaska,NOME,Wales,Wales,,,,,,
AK,Alaska,KETCHIKAN GATEWAY,Ward Cove,Ward Cove,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Big Lake,Wasilla,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Houston,Wasilla,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Meadow Lake,Wasilla,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Wasilla,Wasilla,,,,,,
AK,Alaska,NOME,White Mountain,White Mountain,,,,,,
AK,Alaska,NOME,White Mtn,White Mountain,,,,,,
AK,Alaska,VALDEZ CORDOVA,Girdwood,Whittier,,,,,,
AK,Alaska,VALDEZ CORDOVA,Whittier,Whittier,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Willow,Willow,,,,,,
AK,Alaska,WRANGELL,Wrangell,Wrangell,,,,,,
AK,Alaska,YAKUTAT,Yakutat,Yakutat,,,,,,
AL,Alabama,HENRY,Abbeville,Abbeville,,,,,,
AL,Alabama,HENRY,Lawrenceville,Abbeville,,,,,,
AL,Alabama,TUSCALOOSA,Abernant,Abernant,,,,,,
AL,Alabama,JEFFERSON,Adamsville,Adamsville,,,,,,
AL,Alabama,WINSTON,Addison,Addison,,,,,,
AL,Alabama,WINSTON,Arley,Addison,,,,,,
AL,Alabama,JEFFERSON,Adger,Adger,,,,,,
AL,Alabama,JEFFERSON,North Johns,Adger,,,,,,
AL,Alabama,HALE,Akron,Akron,,,,,,
AL,Alabama,HALE,Stewart,Akron,,,,,,
AL,Alabama,SHELBY,Alabaster,Alabaster,,,,,,
AL,Alabama,WILCOX,Alberta,Alberta,,,,,,
AL,Alabama,MARSHALL,Albertville,Albertville,,,,,,
AL,Alabama,TALLAPOOSA,Alex City,Alexander City,,,,,,
AL,Alabama,TALLAPOOSA,Alexander City,Alexander City,,,,,,
AL,Alabama,CALHOUN,Alexandria,Alexandria,,,,,,
AL,Alabama,PICKENS,Aliceville,Aliceville,,,,,,
AL,Alabama,PICKENS,Cochrane,Aliceville,,,,,,
AL,Alabama,PICKENS,Mcmullen,Aliceville,,,,,,
AL,Alabama,PICKENS,Old Memphis,Aliceville,,,,,,
AL,Alabama,BLOUNT,Allgood,Allgood,,,,,,
AL,Alabama,TALLADEGA,Alpine,Alpine,,,,,,
AL,Alabama,JEFFERSON,Alton,Alton,,,,,,
AL,Alabama,ETOWAH,Altoona,Altoona,,,,,,
AL,Alabama,ETOWAH,Snead,Altoona,,,,,,
AL,Alabama,ETOWAH,Susan Moore,Altoona,,,,,,
AL,Alabama,COVINGTON,Andalusia,Andalusia,,,,,,
AL,Alabama,COVINGTON,Babbie,Andalusia,,,,,,
AL,Alabama,COVINGTON,Carolina,Andalusia,,,,,,
AL,Alabama,COVINGTON,Dixie,Andalusia,,,,,,
AL,Alabama,COVINGTON,Heath,Andalusia,,,,,,
AL,Alabama,COVINGTON,Libertyville,Andalusia,,,,,,
